Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS22_5yr_B28008001,ACS22_5yr_B28008002,ACS22_5yr_B28008003,ACS22_5yr_B28008004,ACS22_5yr_B28008005,ACS22_5yr_B28008006,ACS22_5yr_B28008007,ACS22_5yr_B28008008,ACS22_5yr_B28008009,ACS22_5yr_B28008010,ACS22_5yr_B28008001s,ACS22_5yr_B28008002s,ACS22_5yr_B28008003s,ACS22_5yr_B28008004s,ACS22_5yr_B28008005s,ACS22_5yr_B28008006s,ACS22_5yr_B28008007s,ACS22_5yr_B28008008s,ACS22_5yr_B28008009s,ACS22_5yr_B28008010s,ACS22_5yr_B28010001,ACS22_5yr_B28010002,ACS22_5yr_B28010003,ACS22_5yr_B28010004,ACS22_5yr_B28010005,ACS22_5yr_B28010006,ACS22_5yr_B28010007,ACS22_5yr_B28010001s,ACS22_5yr_B28010002s,ACS22_5yr_B28010003s,ACS22_5yr_B28010004s,ACS22_5yr_B28010005s,ACS22_5yr_B28010006s,ACS22_5yr_B28010007s,ACS22_5yr_B28011001,ACS22_5yr_B28011002,ACS22_5yr_B28011003,ACS22_5yr_B28011004,ACS22_5yr_B28011005,ACS22_5yr_B28011006,ACS22_5yr_B28011007,ACS22_5yr_B28011008,ACS22_5yr_B28011001s,ACS22_5yr_B28011002s,ACS22_5yr_B28011003s,ACS22_5yr_B28011004s,ACS22_5yr_B28011005s,ACS22_5yr_B28011006s,ACS22_5yr_B28011007s,ACS22_5yr_B28011008s
"132619502003","Block Group 3, Census Tract 9502, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1759,1745,0,1745,1745,1601,144,0,0,14,156.9697,154.5455,8.484848,154.5455,154.5455,216.9697,127.8788,8.484848,8.484848,15.15152,351,337,253,0,337,84,14,55.15152,51.51515,60.60606,8.484848,51.51515,37.57576,15.15152,351,337,0,319,18,0,0,14,55.15152,51.51515,8.484848,52.12121,20.60606,8.484848,8.484848,15.15152
"132619502004","Block Group 4, Census Tract 9502, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950200","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4",,,,568,484,0,484,149,149,0,335,0,84,255.7576,252.1212,8.484848,252.1212,116.9697,116.9697,8.484848,223.6364,8.484848,47.87879,283,199,0,0,199,199,84,90.30303,79.39394,8.484848,8.484848,79.39394,79.39394,47.87879,283,223,0,67,24,0,0,60,90.30303,85.45454,8.484848,43.0303,23.0303,8.484848,8.484848,41.81818
"132619503001","Block Group 1, Census Tract 9503, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1418,1292,0,1194,1176,1176,0,18,98,126,367.8788,366.6667,8.484848,381.2121,385.4546,385.4546,8.484848,18.78788,65.45454,82.42424,501,434,302,0,434,132,67,104.8485,100.6061,91.51515,8.484848,100.6061,56.9697,43.63636,501,351,0,333,0,0,57,93,104.8485,98.18182,8.484848,100.6061,8.484848,8.484848,45.45454,53.33333
"132619503002","Block Group 2, Census Tract 9503, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1379,1346,0,1326,1084,888,196,242,20,33,307.8788,303.6364,8.484848,301.2121,273.9394,251.5152,119.3939,117.5758,20.60606,22.42424,563,530,369,62,468,161,33,112.1212,107.2727,86.06061,30.90909,103.6364,66.66666,22.42424,563,510,0,352,14,48,37,16,112.1212,104.2424,8.484848,84.84849,15.15152,30.30303,26.06061,15.15152
"132619503003","Block Group 3, Census Tract 9503, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,808,794,0,551,283,265,18,268,243,14,210.9091,215.1515,8.484848,202.4242,188.4848,187.2727,20,158.1818,132.7273,15.15152,277,263,201,62,201,62,14,84.84849,85.45454,82.42424,51.51515,68.48485,33.33333,15.15152,277,167,0,62,0,0,11,99,84.84849,67.87878,8.484848,35.15152,8.484848,8.484848,10.90909,55.75758
"132619503004","Block Group 4, Census Tract 9503, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4",,,,466,402,0,155,155,76,79,0,247,64,134.5455,135.1515,8.484848,97.57576,97.57576,63.0303,73.33334,8.484848,129.697,35.75758,251,187,24,0,187,163,64,70.30303,63.63636,19.39394,8.484848,63.63636,66.66666,35.75758,251,75,0,25,67,0,0,176,70.30303,39.39394,8.484848,18.78788,38.18182,8.484848,8.484848,66.66666
"132619503005","Block Group 5, Census Tract 9503, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950300","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5",,,,1322,1277,0,1135,896,843,53,239,142,45,246.0606,246.0606,8.484848,213.3333,220.6061,226.6667,41.81818,120,92.72727,26.66667,511,466,293,26,440,173,45,83.63636,81.81818,67.27273,20,83.63636,67.87878,26.66667,511,386,0,232,65,0,0,125,83.63636,63.0303,8.484848,55.75758,43.0303,8.484848,8.484848,50.30303
"132619504001","Block Group 1, Census Tract 9504, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,976,976,0,899,416,358,58,483,77,0,224.8485,224.8485,8.484848,218.1818,137.5758,129.697,36.9697,181.8182,55.75758,8.484848,226,226,161,0,226,65,0,49.09091,49.09091,43.0303,8.484848,49.09091,30.30303,8.484848,226,193,0,48,54,0,0,33,49.09091,45.45454,8.484848,20,24.24242,8.484848,8.484848,21.21212
"132619504002","Block Group 2, Census Tract 9504, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,948,919,0,832,788,781,7,44,87,29,303.6364,303.6364,8.484848,301.8182,307.2727,307.2727,4.848485,26.66667,46.06061,14.54545,356,329,290,24,305,39,27,95.15151,93.93939,96.36364,15.15152,94.54546,15.15152,13.93939,356,285,0,233,90,2,0,71,95.15151,91.51515,8.484848,93.93939,42.42424,2.424242,8.484848,27.87879
"132619504003","Block Group 3, Census Tract 9504, Sumter County, Georgia","ga","150","00",,,,"13","261",,,"950400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,560,458,0,364,293,265,28,71,94,102,130.9091,127.8788,8.484848,112.1212,103.6364,103.0303,24.84848,40,57.57576,54.54546,290,227,168,0,227,59,63,64.24242,53.33333,41.21212,8.484848,53.33333,33.33333,37.57576,290,160,0,102,26,0,9,121,64.24242,36.9697,8.484848,28.48485,19.39394,8.484848,8.484848,52.12121
